# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
60, -3758, 86973, 90731, 1678216529567529745, 1678216529567575925, 1678216529567921167, 1678216529567965718, -2003, 44741
61, 31, 90355, 90324, 1678216530297125380, 1678216530297170029, 1678216530297503535, 1678216530297549210, 2463, 44741
63, 1234, 91357, 90123, 1678216531509759068, 1678216531509803853, 1678216531510125583, 1678216531510170921, -65, 44881
64, -1230, 89750, 90980, 1678216533070892935, 1678216533070938941, 1678216533071261935, 1678216533071306909, -156, 45030
65, 2126, 89691, 87565, 1678216535060579594, 1678216535060624069, 1678216535060942687, 1678216535060985777, 2406, 44765
66, 41032, 130150, 89118, 1678216536128046645, 1678216536128090181, 1678216536128294031, 1678216536128339613, -1472, 45030
68, -484, 90521, 91005, 1678216538571233671, 1678216538571279549, 1678216538571528767, 1678216538571573894, -461, 45499
69, -192, 88860, 89052, 1678216539780155430, 1678216539780200549, 1678216539780526911, 1678216539780570844, -274, 45499
70, -935, 89429, 90364, 1678216541385790716, 1678216541385833637, 1678216541386159583, 1678216541386207026, 1849, 45253
71, 729, 89942, 89213, 1678216542879658810, 1678216542879702429, 1678216542879962367, 1678216542880007961, -1960, 45253
72, -3770, 87883, 91653, 1678216543989042417, 1678216543989088173, 1678216543989364383, 1678216543989410280, -982, 44971
73, -216, 87829, 88045, 1678216545517332395, 1678216545517375189, 1678216545517688575, 1678216545517733826, 1330, 44685
75, 9596966, 19708548, 10111582, 1678216547487371346, 1678216547487414669, 1678216547487735359, 1678216547497803618, 10023180, 44685
76, -5663387, 23767821, 29431208, 1678216548573353431, 1678216548593083517, 1678216548593399375, 1678216548603100497, 4145013, 44685
78, 3706980, 14021388, 10314408, 1678216550519787991, 1678216550534392309, 1678216550534722031, 1678216550530432121, -432993, 44685
80, 9498470, 19593398, 10094928, 1678216551360463219, 1678216551376182893, 1678216551376498319, 1678216551370873573, -7954841, 1967701
81, 9464177, 19562357, 10098180, 1678216553078429803, 1678216553089268109, 1678216553089584703, 1678216553088844577, -5690253, 4291695
82, 3535685, 13708281, 10172596, 1678216554445818794, 1678216554452656581, 1678216554452981311, 1678216554456316120, 3423412, 4291695
83, 3411189, 13550855, 10139666, 1678216556315431664, 1678216556321457741, 1678216556321776671, 1678216556325890260, 3775346, 4473129
84, 3257939, 13391989, 10134050, 1678216558117012735, 1678216558123770957, 1678216558123906703, 1678216558127282531, 3098604, 4635867
86, 9594587, 19681571, 10086984, 1678216559145860851, 1678216559152830685, 1678216559153151135, 1678216559156268285, -3700857, 5784526
87, 3096962, 13247304, 10150342, 1678216560005966893, 1678216560012638589, 1678216560012953695, 1678216560016432341, 3003407, 5629396
88, 9595546, 19685691, 10090145, 1678216561278169139, 1678216561284221565, 1678216561284551343, 1678216561288589062, -3626546, 7016332
89, 2917000, 13065873, 10148873, 1678216562108629045, 1678216562113560309, 1678216562113886063, 1678216562119103672, 4276411, 5629396
90, 2781660, 12908799, 10127139, 1678216563965168375, 1678216563970954525, 1678216563971280991, 1678216563975621980, 3542585, 4628171
91, 9414122, 19652806, 10238684, 1678216564918132735, 1678216564923889525, 1678216564924268591, 1678216564928750485, -2435698, 4628171
92, 2631593, 12762135, 10130542, 1678216566526609378, 1678216566532977757, 1678216566533304975, 1678216566537067138, 1890896, 4628171
93, 2468660, 12603237, 10134577, 1678216567953225466, 1678216567960632533, 1678216567960966911, 1678216567963694421, 1797256, 4739211
96, 9581176, 19676070, 10094894, 1678216569284548409, 1678216569291686469, 1678216569292012751, 1678216569294969585, -3131340, 5619995
98, 9565287, 19663787, 10098500, 1678216570674325429, 1678216570679252989, 1678216570679580447, 1678216570684751387, -2322510, 6252605
99, 2139743, 12277233, 10137490, 1678216572528309840, 1678216572532334189, 1678216572532663759, 1678216572538776900, 2173116, 6252605
100, 1989872, 12119141, 10129269, 1678216573730333293, 1678216573735448325, 1678216573735774879, 1678216573740789116, 2065191, 6252605
101, 9523698, 19619506, 10095808, 1678216574684997794, 1678216574688928293, 1678216574689254095, 1678216574695419404, -1415171, 6178652
102, 1814416, 11942441, 10128025, 1678216576497677605, 1678216576501883133, 1678216576502269743, 1678216576508192240, 1693397, 6178652
103, 1615981, 11740830, 10124849, 1678216578391887832, 1678216578396310605, 1678216578396613391, 1678216578402315467, 1413958, 6178652
104, 9085080, 19184805, 10099725, 1678216579115054459, 1678216579119794021, 1678216579120119551, 1678216579125479714, -1329399, 6145116
105, 8902190, 19005479, 10103289, 1678216581079342975, 1678216581083994429, 1678216581084327151, 1678216581089778986, -1164104, 6081403
106, 9526360, 19629496, 10103136, 1678216583053967046, 1678216583058584005, 1678216583058904415, 1678216583064390592, -984804, 5975637
109, 1115214, 11237638, 10122424, 1678216583824031918, 1678216583828981749, 1678216583829308847, 1678216583834481440, 1914467, 5032184
110, 9534962, 19627132, 10092170, 1678216585252899267, 1678216585258332509, 1678216585258690671, 1678216585263349599, -1411967, 5482095
111, 9521051, 19628956, 10107905, 1678216586976738714, 1678216586981989973, 1678216586982318143, 1678216586987174789, -763999, 5329850
112, 803779, 10923511, 10119732, 1678216587646110252, 1678216587651639741, 1678216587651965583, 1678216587656555826, 663455, 5329850
114, 9477638, 19640747, 10163109, 1678216589415898125, 1678216589421292077, 1678216589421616959, 1678216589426386116, -991925, 5604455
115, 648204, 10768613, 10120409, 1678216590005992347, 1678216590011147629, 1678216590011464831, 1678216590016429958, 814708, 5326180
117, 9491569, 19595084, 10103515, 1678216591469706691, 1678216591474874669, 1678216591475198623, 1678216591480134160, -665126, 5528104
118, 487788, 10605319, 10117531, 1678216592311548629, 1678216592316376309, 1678216592316693583, 1678216592321983434, 425332, 5528104
120, 9559079, 19670092, 10111013, 1678216593362307131, 1678216593367170877, 1678216593367573951, 1678216593372821218, -248982, 5432007
121, 9521684, 19628224, 10106540, 1678216594709697477, 1678216594714390757, 1678216594714707471, 1678216594720120731, -210278, 5397028
122, 177563, 10291546, 10113983, 1678216595877782418, 1678216595882659045, 1678216595882991695, 1678216595888229051, 161412, 5397028
124, 9555866, 19666364, 10110498, 1678216597460992663, 1678216597465819237, 1678216597466135807, 1678216597471419731, 51359, 5215794
126, 9555020, 19667682, 10112662, 1678216598294784358, 1678216598299664093, 1678216598299967455, 1678216598305200382, 27237, 5190913
127, 9555789, 19668457, 10112668, 1678216599804120121, 1678216599809056685, 1678216599809384639, 1678216599814560743, 37357, 5131381
