# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
78, 90468, 1678216537587087647, 1678216537587134607, 1678216537587595409, 1678216537587638917
79, 90521, 1678216538587282879, 1678216538587327917, 1678216538587582666, 1678216538587628149
80, 88181, 1678216539587493887, 1678216539587537932, 1678216539587996029, 1678216539588040165
81, 88860, 1678216540587655151, 1678216540587700376, 1678216540588149234, 1678216540588192869
82, 89429, 1678216541587817551, 1678216541587864653, 1678216541588322238, 1678216541588364565
83, 91462, 1678216542587954623, 1678216542588000580, 1678216542588447892, 1678216542588493397
84, 89942, 1678216543588122415, 1678216543588165708, 1678216543588651316, 1678216543588697965
85, 87883, 1678216544588424991, 1678216544588468980, 1678216544588834919, 1678216544588878813
86, 87829, 1678216545588529119, 1678216545588575134, 1678216545589076087, 1678216545589117901
87, 89462, 1678216546588666159, 1678216546588710912, 1678216546589180664, 1678216546589225373
88, 19708548, 1678216547588822607, 1678216547598890472, 1678216547599280418, 1678216547608921101
89, 23767821, 1678216548588957791, 1678216548593147489, 1678216548593561450, 1678216548613139573
90, 19629070, 1678216549589119279, 1678216549582099746, 1678216549582571322, 1678216549609219925
91, 14021388, 1678216550589261535, 1678216550588873227, 1678216550589261437, 1678216550603671133
92, 19593398, 1678216551589428927, 1678216551583441787, 1678216551583949915, 1678216551609530453
93, 13871153, 1678216552589564431, 1678216552593235343, 1678216552593663644, 1678216552603863885
94, 19562357, 1678216553589722431, 1678216553588323873, 1678216553588862706, 1678216553609823621
95, 13708281, 1678216554589857135, 1678216554597572242, 1678216554598034815, 1678216554604027989
96, 19619375, 1678216555590015631, 1678216555592300075, 1678216555592782826, 1678216555610117757
97, 13550855, 1678216556590149743, 1678216556598398218, 1678216556598867593, 1678216556604169973
98, 19633042, 1678216557590303247, 1678216557592506500, 1678216557592975088, 1678216557610404877
99, 13391989, 1678216558590437039, 1678216558598171510, 1678216558598552399, 1678216558604209917
100, 19681571, 1678216559590594511, 1678216559592678180, 1678216559593111727, 1678216559610709629
101, 13247304, 1678216560590729087, 1678216560599361890, 1678216560599804896, 1678216560604419397
102, 19685691, 1678216561590904847, 1678216561594294633, 1678216561594709716, 1678216561611005621
103, 13065873, 1678216562591039295, 1678216562600945102, 1678216562601357883, 1678216562604517949
104, 19635478, 1678216563591198015, 1678216563594963075, 1678216563595427051, 1678216563611297469
105, 12908799, 1678216564591340495, 1678216564599511251, 1678216564599931858, 1678216564604669901
106, 19652806, 1678216565591504159, 1678216565593696632, 1678216565594144768, 1678216565611605101
107, 12762135, 1678216566591600527, 1678216566598119594, 1678216566598584521, 1678216566604827589
108, 19631385, 1678216567591761935, 1678216567593760502, 1678216567594227523, 1678216567611860341
109, 12603237, 1678216568591898799, 1678216568598435266, 1678216568598906299, 1678216568604973069
110, 19676070, 1678216569592055199, 1678216569594543854, 1678216569594965798, 1678216569612153213
