# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
101, -6, -48, -42, 314960, -315002, 1678302203083352738, 1678302203083352713, -11, -20
102, -2, -43, -41, 270233, -270274, 1678302203452660178, 1678302203452660151, -1, -20
103, 2, -40, -42, 316608, -316650, 1678302204858960178, 1678302204858960154, 1, -20
104, 1, -42, -43, 369951, -369994, 1678302205979712194, 1678302205979712165, -6, -20
105, 1, -42, -43, 325279, -325322, 1678302206873967970, 1678302206873967950, -4, -21
106, 1, -42, -43, 368303, -368346, 1678302207919555362, 1678302207919555341, 3, -21
108, 2, -42, -44, 367758, -367802, 1678302209926300290, 1678302209926300261, -6, -19
109, -1, -42, -41, 280257, -280298, 1678302210825152994, 1678302210825152967, -3, -19
110, 1, -42, -43, 333183, -333226, 1678302212738436738, 1678302212738436719, -2, -19
111, -3, -46, -43, 377983, -378026, 1678302213953470962, 1678302213953470943, 0, -20
113, 6, -37, -43, 377599, -377642, 1678302214550715410, 1678302214550715393, 10, -22
115, -2, -43, -41, 262945, -262986, 1678302216888194386, 1678302216888194358, -3, -22
116, -8, -42, -34, 329128, -329162, 1678302217578788322, 1678302217578788301, -5, -20
117, 2, -41, -43, 323047, -323090, 1678302218374018786, 1678302218374018763, 1, -22
118, 1, -41, -42, 324000, -324042, 1678302219729491298, 1678302219729491279, 0, -22
119, 0, -42, -42, 323968, -324010, 1678302221640809154, 1678302221640809131, -1, -22
120, -1, -42, -41, 243745, -243786, 1678302222446034162, 1678302222446034147, 7, -22
122, -2, -43, -41, 257521, -257562, 1678302224930849922, 1678302224930849901, -2, -21
123, -2, -44, -42, 316312, -316354, 1678302225977580786, 1678302225977580765, -4, -21
124, -4, -45, -41, 263641, -263682, 1678302227313704642, 1678302227313704629, -1, -21
126, 7, -42, -49, 257713, -257762, 1678302229026759954, 1678302229026759932, 7, -22
127, -1, -42, -41, 255577, -255618, 1678302229818845570, 1678302229818845544, -3, -21
129, -2, -43, -41, 253625, -253666, 1678302230858256338, 1678302230858256317, -4, -21
131, -2, -43, -41, 253417, -253458, 1678302232884749458, 1678302232884749443, 7, -21
133, -2, -43, -41, 249969, -250010, 1678302235066908034, 1678302235066908014, -5, -21
134, -1, -42, -41, 241625, -241666, 1678302235777951378, 1678302235777951360, 1, -21
136, -2, -43, -41, 279481, -279522, 1678302237947189842, 1678302237947189818, -8, -20
137, 0, -42, -42, 330488, -330530, 1678302239348151394, 1678302239348151376, 5, -21
138, 0, -43, -43, 324263, -324306, 1678302241185861634, 1678302241185861611, -6, -21
139, 0, -42, -42, 301976, -302018, 1678302242359504962, 1678302242359504938, 3, -21
140, 1, -41, -42, 322504, -322546, 1678302243470473874, 1678302243470473853, -4, -20
142, 8, -36, -44, 409422, -409466, 1678302245085125842, 1678302245085125822, 4, -21
143, -1, -43, -42, 279424, -279466, 1678302245521032946, 1678302245521032926, -2, -21
144, -2, -43, -41, 250913, -250954, 1678302247210731746, 1678302247210731723, -4, -20
145, 8, -35, -43, 324119, -324162, 1678302248338147794, 1678302248338147773, 6, -21
146, -2, -43, -41, 264217, -264258, 1678302250025333426, 1678302250025333402, 6, -21
147, 6, -36, -42, 327632, -327674, 1678302251094558962, 1678302251094558940, 3, -21
148, -1, -43, -42, 311768, -311810, 1678302251746570418, 1678302251746570392, -3, -20
149, 1, -42, -43, 311519, -311562, 1678302253507900290, 1678302253507900265, -3, -20
150, -1, -44, -43, 322831, -322874, 1678302254784948354, 1678302254784948335, -1, -21
151, 0, -42, -42, 304584, -304626, 1678302255427972770, 1678302255427972753, 6, -21
153, -2, -43, -41, 277113, -277154, 1678302257413126738, 1678302257413126724, 6, -22
156, -2, -44, -42, 322944, -322986, 1678302259848582258, 1678302259848582241, 4, -23
157, -3, -44, -41, 262513, -262554, 1678302260658335570, 1678302260658335546, -4, -23
158, -1, -43, -42, 328720, -328762, 1678302261903520306, 1678302261903520288, 3, -23
160, 3, -39, -42, 305296, -305338, 1678302262955326674, 1678302262955326654, 4, -23
161, 7, -37, -44, 373918, -373962, 1678302264027267122, 1678302264027267099, 3, -23
162, -1, -43, -42, 328768, -328810, 1678302264329420018, 1678302264329419996, 0, -22
163, 0, -43, -43, 314207, -314250, 1678302265675043794, 1678302265675043772, -1, -21
164, -1, -43, -42, 312968, -313010, 1678302267464312482, 1678302267464312462, 0, -21
166, -3, -44, -41, 255009, -255050, 1678302269671368514, 1678302269671368499, 0, -20
168, 6, -36, -42, 258752, -258794, 1678302271062533954, 1678302271062533937, 10, -21
171, -4, -43, -39, 159699, -159738, 1678302272105760434, 1678302272105760413, 0, -20
172, 7, -42, -49, 254089, -254138, 1678302273369260098, 1678302273369260074, -2, -20
173, -3, -44, -41, 257001, -257042, 1678302274714456578, 1678302274714456563, 7, -21
174, 5, -36, -41, 256697, -256738, 1678302276344278786, 1678302276344278767, 7, -22
175, -1, -42, -41, 258489, -258530, 1678302277833979650, 1678302277833979626, -3, -22
176, -2, -43, -41, 267561, -267602, 1678302279374442978, 1678302279374442958, 5, -22
177, -2, -43, -41, 250441, -250482, 1678302281216328002, 1678302281216327982, 4, -22
178, -2, -43, -41, 259009, -259050, 1678302282409905538, 1678302282409905518, -5, -20
179, 5, -36, -41, 264505, -264546, 1678302284311588738, 1678302284311588717, 6, -22
180, -2, -43, -41, 266689, -266730, 1678302286009956562, 1678302286009956537, -1, -22
182, -2, -43, -41, 258497, -258538, 1678302286778525042, 1678302286778525019, -5, -21
184, -2, -43, -41, 250457, -250498, 1678302287850802146, 1678302287850802123, -3, -21
186, -6, -47, -41, 250865, -250906, 1678302288807180914, 1678302288807180892, -2, -21
187, 11, -38, -49, 259569, -259618, 1678302290058055154, 1678302290058055134, 8, -21
188, 0, -42, -42, 305224, -305266, 1678302290986503794, 1678302290986503774, -2, -21
189, -2, -44, -42, 281408, -281450, 1678302291544362546, 1678302291544362523, -3, -21
